origin_id,origin_zone,count(*),school_lat,school_long,dest_id,dest_school,zone_lat,zone_long,,
1,Babesa,249,27.426344,89.657088,101,Babesa HSS,27.4291816677,89.6472096023,,
3,Bjemina,1,27.426344,89.657088,101,Babesa HSS,27.402968,89.570704,,
4,Changangkha,1,27.426344,89.657088,101,Babesa HSS,27.4724539904,89.6308464685,,
5,Changgidaphu,2,27.426344,89.657088,101,Babesa HSS,27.4599353896,89.6333761155,,
6,Changjalu,7,27.426344,89.657088,101,Babesa HSS,27.4469707462,89.6587524835,,
7,Changzamtog,5,27.426344,89.657088,101,Babesa HSS,27.4611489703,89.641853715,,
8,Chanjiji,2,27.426344,89.657088,101,Babesa HSS,27.4555043578,89.6529220173,,
9,Core,1,27.426344,89.657088,101,Babesa HSS,27.4733136477,89.6382533581,,
10,Debsi,16,27.426344,89.657088,101,Babesa HSS,27.4315666969,89.6403752994,,
11,Dechencholing,1,27.426344,89.657088,101,Babesa HSS,27.5326052807,89.6425383727,,
13,Gangchey,15,27.426344,89.657088,101,Babesa HSS,27.4177850318,89.6418826587,,
17,Jungshina,1,27.426344,89.657088,101,Babesa HSS,27.5107091633,89.6341291296,,
22,Langjophakha,1,27.426344,89.657088,101,Babesa HSS,27.4958974797,89.6413215052,,
23,Lubding,1,27.426344,89.657088,101,Babesa HSS,27.4497466283,89.6694540333,,
24,Motithang,2,27.426344,89.657088,101,Babesa HSS,27.4766506425,89.6197167055,,
25,Namseyling,2,27.426344,89.657088,101,Babesa HSS,27.404257,89.6064,,
26,Olakha,15,27.426344,89.657088,101,Babesa HSS,27.4469707462,89.6587524835,,
28,Ramtokto,8,27.426344,89.657088,101,Babesa HSS,27.416321,89.622819,,
29,RTC,14,27.426344,89.657088,101,Babesa HSS,27.4034984778,89.6566570452,,
30,Samtenling,1,27.426344,89.657088,101,Babesa HSS,27.50077888,89.6336932565,,
31,Serbithang,33,27.426344,89.657088,101,Babesa HSS,27.4202951523,89.6559116068,,
32,Simtokha,10,27.426344,89.657088,101,Babesa HSS,27.4344083978,89.6678739051,,
34,Tshalubar,2,27.426344,89.657088,101,Babesa HSS,27.4377037677,89.6555866401,,
35,Tshalumarphey,5,27.426344,89.657088,101,Babesa HSS,27.4377037677,89.6555866401,,
1,Babesa,375,27.429027,89.650867,102,Babesa PS,27.4291816677,89.6472096023,,
3,Bjemina,1,27.429027,89.650867,102,Babesa PS,27.402968,89.570704,,
6,Changjalu,4,27.429027,89.650867,102,Babesa PS,27.4469707462,89.6587524835,,
7,Changzamtog,4,27.429027,89.650867,102,Babesa PS,27.4611489703,89.641853715,,
8,Chanjiji,4,27.429027,89.650867,102,Babesa PS,27.4555043578,89.6529220173,,
9,Core,1,27.429027,89.650867,102,Babesa PS,27.4733136477,89.6382533581,,
10,Debsi,31,27.429027,89.650867,102,Babesa PS,27.4315666969,89.6403752994,,
12,Dzong,1,27.429027,89.650867,102,Babesa PS,27.4883002592,89.635544727,,
13,Gangchey,23,27.429027,89.650867,102,Babesa PS,27.4177850318,89.6418826587,,
18,Kabisa,1,27.429027,89.650867,102,Babesa PS,27.5490698811,89.6542996104,,
20,Khasadrapchu,1,27.429027,89.650867,102,Babesa PS,27.386985,89.584902,,
22,Langjophakha,1,27.429027,89.650867,102,Babesa PS,27.4958974797,89.6413215052,,
24,Motithang,1,27.429027,89.650867,102,Babesa PS,27.4766506425,89.6197167055,,
26,Olakha,16,27.429027,89.650867,102,Babesa PS,27.4469707462,89.6587524835,,
27,Pamtsho,2,27.429027,89.650867,102,Babesa PS,27.5107091633,89.6341291296,,
28,Ramtokto,4,27.429027,89.650867,102,Babesa PS,27.416321,89.622819,,
29,RTC,20,27.429027,89.650867,102,Babesa PS,27.4034984778,89.6566570452,,
30,Samtenling,1,27.429027,89.650867,102,Babesa PS,27.50077888,89.6336932565,,
31,Serbithang,29,27.429027,89.650867,102,Babesa PS,27.4202951523,89.6559116068,,
