origin_id,origin_zone,dest_id,dest_school,count(*),school_lat,School_long,zone_lat,zone_long
1,Babesa,101,Babesa HSS,249,27.426344,89.657088,27.4291816677,89.6472096023
2,Bjemina,101,Babesa HSS,1,27.426344,89.657088,27.402968,89.570704
3,Changangkha,101,Babesa HSS,1,27.426344,89.657088,27.4724539904,89.6308464685
4,Changgidaphu,101,Babesa HSS,2,27.426344,89.657088,27.4599353896,89.6333761155
5,Changjalu,101,Babesa HSS,7,27.426344,89.657088,27.4469707462,89.6587524835
6,Changzamtog,101,Babesa HSS,5,27.426344,89.657088,27.4611489703,89.641853715
7,Chanjiji,101,Babesa HSS,2,27.426344,89.657088,27.4555043578,89.6529220173
8,Core,101,Babesa HSS,1,27.426344,89.657088,27.4733136477,89.6382533581
9,Debsi,101,Babesa HSS,16,27.426344,89.657088,27.4315666969,89.6403752994
10,Dechencholing,101,Babesa HSS,1,27.426344,89.657088,27.5326052807,89.6425383727
11,Gangchey,101,Babesa HSS,15,27.426344,89.657088,27.4177850318,89.6418826587
12,Jungshina,101,Babesa HSS,1,27.426344,89.657088,27.5107091633,89.6341291296
13,Langjophakha,101,Babesa HSS,1,27.426344,89.657088,27.4958974797,89.6413215052
14,Lubding,101,Babesa HSS,1,27.426344,89.657088,27.4497466283,89.6694540333
15,Motithang,101,Babesa HSS,2,27.426344,89.657088,27.4766506425,89.6197167055
16,Namseyling,101,Babesa HSS,2,27.426344,89.657088,27.404257,89.6064
17,Olakha,101,Babesa HSS,15,27.426344,89.657088,27.4469707462,89.6587524835
18,Ramtokto,101,Babesa HSS,8,27.426344,89.657088,27.416321,89.622819
19,RTC,101,Babesa HSS,14,27.426344,89.657088,27.4034984778,89.6566570452
20,Samtenling,101,Babesa HSS,1,27.426344,89.657088,27.50077888,89.6336932565
21,Serbithang,101,Babesa HSS,33,27.426344,89.657088,27.4202951523,89.6559116068
22,Simtokha,101,Babesa HSS,10,27.426344,89.657088,27.4344083978,89.6678739051
23,Tshalubar,101,Babesa HSS,2,27.426344,89.657088,27.4377037677,89.6555866401
24,Tshalumarphey,101,Babesa HSS,5,27.426344,89.657088,27.4377037677,89.6555866401
25,Babesa,102,Babesa PS,375,27.429027,89.650867,27.4291816677,89.6472096023
26,Bjemina,102,Babesa PS,1,27.429027,89.650867,27.402968,89.570704
27,Changjalu,102,Babesa PS,4,27.429027,89.650867,27.4469707462,89.6587524835
28,Changzamtog,102,Babesa PS,4,27.429027,89.650867,27.4611489703,89.641853715
29,Chanjiji,102,Babesa PS,4,27.429027,89.650867,27.4555043578,89.6529220173
30,Core,102,Babesa PS,1,27.429027,89.650867,27.4733136477,89.6382533581
31,Debsi,102,Babesa PS,31,27.429027,89.650867,27.4315666969,89.6403752994
32,Dzong,102,Babesa PS,1,27.429027,89.650867,27.4883002592,89.635544727
33,Gangchey,102,Babesa PS,23,27.429027,89.650867,27.4177850318,89.6418826587
